Site Name,URL
NHIS Wuse 2,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.17_gigabitethernet0_0_0.html
NHIS UTako,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.9_gigabitethernet0_0_0.html
BPP,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.73_gigabitethernet0_0_0.html
DMO HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.201_gigabitethernet0_0_1.html
Tawada,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.241_gigabitethernet0_0_0.html
Nemsa,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.249_gigabitethernet0_0_0.html
NBET,https://mrtg.galaxybackbone.com.ng:8081/10.0.44.137_gigabitethernet0_0_1.html
Huawei Asokoro Apt,https://mrtg.galaxybackbone.com.ng:8081/10.0.44.73_gigabitethernet0_0_0.html
NIMC,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.137_gigabitethernet0_0_1.html
NUC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.1_gigabitethernet0_0_0.html
TEFUND,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.73_gigabitethernet0_0_0.html
NERC,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.185_gigabitethernet0_0_0.html
ONSA Z4,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.65_gigabitethernet0_0_0.html
PTDF,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.73_gigabitethernet0_0_0.html
STATE HOUSE,https://mrtg.galaxybackbone.com.ng:8081/10.10.207.58_gigabitethernet0_0_1.html
NAVY,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.145_gigabitethernet0_0_0.html
NAF,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.153_gigabitethernet0_0_0.html
DHQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.169_gigabitethernet0_0_0.html
egovcenter,https://mrtg.galaxybackbone.com.ng:8081/10.0.50.73_gigabitethernet0_0_0.html
UBEC,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.49_gigabitethernet0_0_0.html
Jaiz Bank,https://mrtg.galaxybackbone.com.ng:8081/10.0.28.30_gigabitethernet0_0_15.html
"TAJ Bank, Ahmadu Bello",https://mrtg.galaxybackbone.com.ng:8081/10.0.44.97_gigabitethernet0_0_0.html
NSPM,https://mrtg.galaxybackbone.com.ng:8081/10.0.45.89_gigabitethernet0_0_0.html
FCSC,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.25_gigabitethernet0_0_0.html
"CHEC, Akwanga road",https://mrtg.galaxybackbone.com.ng:8081/10.0.210.2_gigabitethernet0_0_0.html
PENCOM HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.9_gigabitethernet0_0_0.html
NNPC CBT Port Harcourt,https://mrtg.galaxybackbone.com.ng:8081/10.10.232.218_gigabitethernet0_0_0.html
Fraser Suites,https://mrtg.galaxybackbone.com.ng:8081/10.0.28.30_gigabitethernet0_0_16.html
NDC HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.153/10.0.37.153_gigabitethernet0_0_0.html
NDC Piwoyi,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.90/10.0.39.90_gigabitethernet0_0_0.html
FIRS HQ,https://mrtg.galaxybackbone.com.ng:8081/10.10.206.30/10.10.206.30_gigabitethernet0_0.html
GACN,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.233/10.0.43.233_gigabitethernet0_0_0.html
FCDA,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.73/10.0.43.73_gigabitethernet0_0_0.html
NITDA Annex,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.177/10.0.43.177_gigabitethernet0_0_0.html
Law School Bwari,https://mrtg.galaxybackbone.com.ng:8081/10.0.50.33/10.0.50.33_gigabitethernet0_0_0.html
Customs HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.209/10.0.43.209_gigabitethernet0_0_0.html
NAICOM,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.105/10.0.42.105_gigabitethernet0_0_1.html
ONSA White House,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.217/_gigabitethernet0_0_0.html
NJC Kaduna,https://mrtg.galaxybackbone.com.ng:8081/10.10.224.46/10.10.224.46_gigabitethernet0_0_0.html
Women Center,https://mrtg.galaxybackbone.com.ng:8081/10.0.41.78/10.0.41.78_gigabitethernet0_0_0.html
Fed Min of Works,https://mrtg.galaxybackbone.com.ng:8081/10.0.41.62/10.0.41.62_gigabitethernet0_0_0.html
ONSA,https://mrtg.galaxybackbone.com.ng:8081/10.0.41.94/10.0.41.94_gigabitethernet0_0_0.html
Corrections HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.252.81/10.0.252.81_gigabitethernet0_0_0.html
NIGCOMSAT,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.34/10.0.39.34_gigabitethernet0_0_0.html
NABDA,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.42/10.0.39.42_gigabitethernet0_0_0.html
FCTA,https://mrtg.galaxybackbone.com.ng:8081/10.0.41.126/10.0.41.126_gigabitethernet0_0_0.html
NIMET,https://mrtg.galaxybackbone.com.ng:8081/10.0.252.33/10.0.252.33_gigabitethernet0_0_0.html
AIB,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.66/10.0.39.66_gigabitethernet0_0_0.html
FAAN,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.58/10.0.39.58_gigabitethernet0_0_0.html
BPE,https://mrtg.galaxybackbone.com.ng:8081/10.0.41.38/10.0.41.38_gigabitethernet0_0_0.html
NIS,https://mrtg.galaxybackbone.com.ng:8081/10.0.39.118/10.0.39.118_gigabitethernet0_0_0.html
NPC,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.153/10.0.38.153_gigabitethernet0_0_0.html
OAGF,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.97/10.0.42.97_gigabitethernet0_0_0.html
NEPZA,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.65/10.0.34.65_gigabitethernet0_0_0.html
NEMA,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.49/10.0.34.49_gigabitethernet0_0_0.html
NIPC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.121/10.0.34.121_gigabitethernet0_0_0.html
TCN,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.57/10.0.34.57_gigabitethernet0_0_0.html
